名前,リリース日,一言,視聴動画,Amazon
コガネゾラ,2021-9-1,シングル,,
キョリ感,2022-6-1,シングル,,
キラキラ,2024-10-4,デジタルシングル,,
質問、恋って何でしょうか？,2025-4-5,デジタルシングル,,
にんころダンス,2025-4-11,デジタルシングル,,
"絶対称賛！",2025-10-7,デジタルシングル,,
